Time;Time2;Force;CoM vertical velocity;VL;SOL;VL_Smoothed Y1;SOL_Smoothed Y2;CoM vertical position;CoM vertical position2;_1;_2
s;%;N;ms-1;V;V;;;cm;mm;;
;"Normalize to [0-100] of ""Time""";;"Divided by 71.82825 on ""CoM velocity""";;;"50 pts SG smooth of ""VL""";"50 pts SG smooth of ""SOL""";Integrate of CoM velocity x=(0100) Area = 9.93124;"Multiply 10 on ""Integrated Y1""";;
2.192;0;-0.0511149999999816;0.00708768392124597;0.0050354;0.00442505;1,71861E+14;0.0221272087325194;0;0;;
2.193;0.114285714285702;-0.219114999999874;0.00708580283680707;0.010376;0.017395;1,71623E+14;0.0213415531997302;8.09913529031513E-4;0.00809913529031513;;
2.194;0.228571428571403;-1.05611499999998;0.00707692589749975;0.00808716;0.0241089;1,71429E+14;0.0205860940003839;0.00161921231384896;0.0161921231384896;;
2.195;0.342857142857105;-1.87811499999998;0.00705650057687233;0.0271606;0.0325012;1,7128E+14;0.0198608311344804;0.00242683668381299;0.0242683668381299;;
2.196;0.457142857142858;-2.93511499999988;0.00702299544400831;0.0296021;0.0289917;1,71175E+14;0.0191657646020198;0.00323137931357786;0.0323137931357786;;
2.197;0.571428571428559;-3.65011499999991;0.0069771553312171;0.00579834;0.0349426;1,71115E+14;0.0185008944030021;0.00403138792930494;0.0403138792930494;;
2.198;0.685714285714261;-3.90911499999993;0.00692453515609571;4.57764E-4;0.0357056;1,71099E+14;0.0178662205374272;0.00482577024286558;0.0482577024286558;;
2.199;0.799999999999963;-5.04211499999997;0.00686222519990283;0.0314331;0.0250244;1,71128E+14;0.0172617430052952;0.00561358512035113;0.0561358512035113;;
2.2;0.914285714285715;-6.54211499999997;0.00678158680005961;0.0497437;0.0195313;1,71201E+14;0.0166874618066061;0.00639323152034924;0.0639323152034924;;
2.201;1.02857142857142;-6.48811499999988;0.00669088272246546;0.0312805;0.00732422;1,71319E+14;0.0161433769413598;0.0071630869216363;0.071630869216363;;
2.202;1.14285714285712;-7.85711499999991;0.00659102486462058;0.0231934;1.52588E-4;1,71481E+14;0.0156294884095564;0.00792205306946971;0.0792205306946971;;
2.203;1.25714285714282;-9.3191149999999;0.00647146027530059;0.00213623;0.00747681;1,71687E+14;0.0151457962111959;0.00866848079175083;0.0866848079175083;;
2.204;1.37142857142857;-9.54711499999996;0.0063401315121222;0.0346375;0.00244141;1,71938E+14;0.0146923003462783;0.00940057175103238;0.0940057175103238;;
2.205;1.48571428571427;-10.5441149999999;0.00620027546315897;0.0119019;0.00366211;1,72233E+14;0.0142690008148035;0.0101171664353341;0.101171664353341;;
2.206;1.59999999999998;-11.7701149999999;0.00604494500088978;0.0190735;0.00610352;1,72573E+14;0.0138758976167716;0.0108168933189939;0.108168933189939;;
2.207;1.71428571428568;-13.3221149999999;0.00587027674277535;0.0239563;6.10352E-4;1,72958E+14;0.0135129907521825;0.0114977631329176;0.114977631329176;;
2.208;1.82857142857143;-14.0361149999999;0.00567983474622119;0.0137329;0.00213623;1,73386E+14;0.0131802802210364;0.0121577695037176;0.121577695037176;;
2.209;1.94285714285713;-15.0881149999999;0.00547709953603764;0.0135803;7.62939E-4;1,7386E+14;0.0128777660233331;0.0127953086055609;0.127953086055609;;
2.21;2.05714285714283;-16.7761149999999;0.00525529104989441;0.00915527;0.00656128;1,74377E+14;0.0126054481590726;0.0134085880676141;0.134085880676141;;
2.211;2.17142857142854;-17.696115;0.00501532814634139;0.00701904;0.0244141;1,7494E+14;0.0123633266282551;0.0139954805931132;0.139954805931132;;
2.212;2.28571428571429;-18.6931149999999;0.00476202091066611;0.00411987;0.0257874;1,75546E+14;0.0121514014308804;0.0145541862535138;0.145541862535138;;
2.213;2.39999999999999;-19.614115;0.00449536238181918;0.0175476;0.0291443;1,76197E+14;0.0119696725669486;0.0150831795845129;0.150831795845129;;
